--To get list of all installed packages run :

sudo aptitude -F '%p' search '~i!~M'	-< gives without description
i  python2 - interactive high-level object-oriented language (Python2 version)
i  python3 - interactive high-level object-oriented language (default python3 version)
i  python3-apt - Python 3 interface to libapt-pkg
i  python3-certifi - root certificates for validating SSL certs and verifying TLS hosts (python3)
i  python3-cffi-backend - Foreign Function Interface for Python 3 calling C code - runtime
i  python3-chardet - universal character encoding detector for Python3
i  python3-dbus - simple interprocess messaging system (Python 3 interface)
i  python3-gi - Python 3 bindings for gobject-introspection libraries
i  python3-idna - Python IDNA2008 (RFC 5891) handling (Python 3)
i  python3-minimal - minimal subset of the Python language (default python3 version)
i  python3-nacl - Python bindings to libsodium (Python 3)
i  python3-netifaces - portable network interface information - Python 3.x
i  python3-pip - Python package installer
i  python3-pkg-resources - Package Discovery and Resource Access using pkg_resources
i  python3-pymacaroons - Macaroon library for Python 3
i  python3-requests - elegant and simple HTTP library for Python3, built for human beings
i  python3-requests-unixsocket - Use requests to talk HTTP via a UNIX domain socket - Python 3.x
i  python3-six - Python 2 and 3 compatibility library (Python 3 interface)
i  python3-software-properties - manage the repositories that you install software from
i  python3-urllib3 - HTTP library with thread-safe connection pooling for Python3
i  python3-yaml - YAML parser and emitter for Python3
i  python3.7 - Interactive high-level object-oriented language (version 3.7)
i  python3.7-minimal - Minimal subset of the Python language (version 3.7)
i  readline-common - GNU readline and history libraries, common files
i  reaver - brute force attack tool against Wifi Protected Setup PIN number
i  resolvconf - name server information handler
i  rfkill - tool for enabling and disabling wireless devices
i  rhythmbox - music player and organizer for GNOME
i  rhythmbox-plugins - plugins for rhythmbox music player
i  rsyslog - reliable system and kernel logging daemon
i  ruby - Interpreter of object-oriented scripting language Ruby (default version)
i  ruby-sass - deprecated CSS compiler - use sassc or ruby-sassc instead
i  sassc - C/C++ port of the Sass CSS precompiler - command-line tool
i  seahorse - GNOME front end for GnuPG
i  secure-delete - tools to wipe files, free disk space, swap and memory
i  sed - GNU stream editor for filtering/transforming text
i  sensible-utils - Utilities for sensible alternative selection
i  sessioninstaller - APT based installer using PackageKit's session DBus API
i  shared-mime-info - FreeDesktop.org shared MIME database and spec
i  shotwell - digital photo organizer
i  simple-scan - Simple Scanning Utility
i  software-properties-common - manage the repositories that you install software from (common)
i  sound-theme-freedesktop - freedesktop.org sound theme
i  sox - Swiss army knife of sound processing
i  speedtest-cli - Command line interface for testing internet bandwidth using speedtest.net
i  sqlmap - automatic SQL injection tool
i  steghide - steganography hiding tool
i  sublime-text - Sublime Text is a sophisticated text editor for code, markup and prose
i  sudo - Provide limited super user privileges to specific users
i  synaptic - Graphical package manager
i  system-config-printer - graphical interface to configure the printing system
i  system76-acpi-dkms - System76 ACPI Driver (DKMS)
i  system76-dkms - System76 DKMS driver
i  system76-io-dkms - System76 Io DKMS driver
i  system76-wallpapers - System76 Wallpapers
i  systemd - system and service manager
i  systemd-sysv - system and service manager - SysV links
i  sysvinit-utils - System-V-like utilities
i  tar - GNU version of the tar archiving utility
i  tcpxtract - extract files from network traffic based on file signatures
i  teams - Microsoft Teams for Linux is your chat-centered workspace in Office 365.
i  telegram-desktop - fast and secure messaging application
i  tlp - Save battery power on laptops
i  tlp-rdw - Radio device wizard
i  tor - anonymizing overlay network for TCP
i  torbrowser-launcher - helps download and run the Tor Browser Bundle
i  totem - Simple media player for the GNOME desktop based on GStreamer
i  ttf-mscorefonts-installer - Installer for Microsoft TrueType core fonts
i  tzdata - time zone and daylight-saving time data
i  ubuntu-advantage-tools - management tools for Ubuntu Advantage
i  ubuntu-drivers-common - Detect and install additional Ubuntu driver packages
i  ubuntu-keyring - GnuPG keys of the Ubuntu archive
i  ubuntu-standard - The Ubuntu standard system
i  ubuntu-wallpapers - Ubuntu Wallpapers
i  ucf - Update Configuration File(s): preserve user changes to config files
i  udev - /dev/ and hotplug management daemon
i  util-linux - miscellaneous system utilities
i  vdpau-driver-all - Video Decode and Presentation API for Unix (driver metapackage)
i  vim-gtk3 - Vi IMproved - enhanced vi editor - with GTK3 GUI
i  vino - VNC server for GNOME
i  vlc - multimedia player and streamer
i  vlc-plugin-access-extra - multimedia player and streamer (extra access plugins)
i  vlc-plugin-vlsub - VLC extension to download subtitles from opensubtitles.org
i  wamerican - American English dictionary words for /usr/share/dict
i  wbrazilian - Brazilian Portuguese wordlist
i  wbritish - British English dictionary words for /usr/share/dict
i  wfrench - French dictionary words for /usr/share/dict
i  whiptail - Displays user-friendly dialog boxes from shell scripts
i  wireless-tools - Tools for manipulating Linux Wireless Extensions
i  wireshark-qt - network traffic analyzer - Qt version
i  witalian - Italian dictionary words for /usr/share/dict/
i  wngerman - New German orthography wordlist
i  wogerman - Traditional German wordlist
i  wportuguese - European Portuguese wordlist
i  wspanish - Spanish dictionary words for /usr/share/dict
i  wswiss - Swiss (German) orthography wordlist
i  xdg-user-dirs - tool to manage well known user directories
i  xdg-user-dirs-gtk - tool to manage well known user directories (Gtk extension)
i  xdg-utils - desktop integration utilities from freedesktop.org
i  xdotool - simulate (generate) X11 keyboard/mouse input events
i  xkb-data - X Keyboard Extension (XKB) configuration data
i  xorg - X.Org X Window System
i  xxd - tool to make (or reverse) a hex dump
i  xz-utils - XZ-format compression utilities
i  yaru-theme-gnome-shell - Yaru GNOME Shell desktop theme from the Ubuntu Community
i  yaru-theme-gtk - Yaru GTK theme from the Ubuntu Community
i  yaru-theme-icon - Yaru icon theme from the Ubuntu Community
i  yaru-theme-sound - Yaru sound theme from the Ubuntu Community
i  yelp - Help browser for GNOME
i  zenity - Display graphical dialog boxes from shell scripts
i  zlib1g - compression library - runtime
